Site Name,GPS Coordinates,Photo,lat,lon,Notes,Digitizer,Seismometer,Infrasound
B01,"28°37'17""N 80°36'24""W",,28.62138889,-80.60666667,Seismic (nanometrics) #271. Infrasound (other) #412. Digitizer #268 #453. Waveform and infrasound test good.,Centaur (271),,"infraBSU (268, 412, 453)"
B03,"28°38'34""N 80°37'25""W",,28.64277778,-80.62361111,Sensor ~100ft from Eagle 4 tower on dune. Seismic (nanometrics) #2663. Infrasound #417.,,Trillium C-PH120 (2663),infraBSU (417)
B05,"28°38'24""N 80°38'42""W",,28.64,-80.645,Sensor in front of Helipad 9 sign. Seismic (nanometrics) #2392. Infrasound #414. Digitizer #386. Seis notes: horizontal components are ok. Vertical component pinned. Infrasound checked out ok.,Centaur (386),Trillium C-PH120 (2392),infraBSU (414)
B07,"28°36'26""N 80°35'39""W",,28.60722222,-80.59416667,Sensor (Guralp) #00B68. IPv4 169.254.168.11,Certimus (00B68),,
B12,"28°37'18""N 80°38'50""W",,28.62166667,-80.64722222,Sensor located off Happy Creek Rd. Guralp Certimus #00D68. GPS clock had trouble locking. Station is located just on side of road to be visible to fire crew.,Certimus (00D68),,
B14,"28°37'56""N 80°36'57""W",,28.63222222,-80.61583333,"Seismic (nanometrics) #2719. Infrasound x3 - #292, #461, #336. Digitizer #383. Stomp and infrasound test good.",Centaur (383),Trillium C-PH120 (2719),"infraBSU (292, 461, 336)"
B20,"28°34'25""N 80°34'20""W",,28.57361111,-80.57222222,Sensor located 20 ft 195degrees from north. Seismic (nanometrics) Infrasound. Station name updated. Centaur waveform autoscale not displaying. High RMS. Digitizer #384. Pharcal #071975 + other #403.,Centaur (384),,"M25 (071975), infraBSU (403)"
B23,"28°34'43""N 80°36'28""W",,28.57861111,-80.60777778,"Sensor (gain set to 5 Vpp). SA #the only one we have. Station located at NE corner of clearing, on the mound. Unmowed clearing outside the refuge area.",,Silicon Audio,
B24,"28°34'50""N 80°38'27""W",,28.58055556,-80.64083333,"Seismic (nanometrics) #2619. Infrasound #0224. Digitizer #166. Lead acid battery. 35 amp hr. Solar panel 30w. Waveforms good. Infrasound signal noisy, unconfirmed.",Centaur (166),Trillium C-PH120 (2619),infraBSU (224)
B29,"28°37'05""N 80°40'37""W",,28.61805556,-80.67694444,"Site of controlled burn. Station watered to save from fire. Box stayed dry inside. Seismic (nanometrics) #2410. Infrasound #0436. Digitizer #202. Power issues, maybe fixed. Digitizer intermittent.",Centaur (202),Trillium C-PH120 (2410),infraBSU (436)
